file,true_mod,snr_db,arm,chosen_mod,mod_correct,status,confidence,est_ber,est_ber_valid,measured_ber,decodes,confidently_wrong,old_rule_ok,lock_failures,chain_runs,secs,reason
16qam_10dB_6020,16qam,10,search,16qam,True,ok,0.8462,0.00255924,True,0.002505,True,False,True,,1,0.287,
16qam_10dB_7020,16qam,10,truth-params,16qam,True,ok,0.7933,0.00275402,True,0.002506,True,False,True,,1,0.273,
16qam_10dB_7020,16qam,10,s2-top,16qam,True,ok,0.7933,0.002755,True,0.002506,True,False,True,,1,0.243,
16qam_10dB_7020,16qam,10,search,16qam,True,ok,0.7933,0.002755,True,0.002506,True,False,True,,1,0.305,
16qam_10dB_8020,16qam,10,truth-params,16qam,True,ok,0.847,0.00279857,True,0.002558,True,False,True,,1,0.269,
16qam_10dB_8020,16qam,10,s2-top,16qam,True,ok,0.847,0.00279939,True,0.002558,True,False,True,,1,0.254,
16qam_10dB_8020,16qam,10,search,16qam,True,ok,0.847,0.00279939,True,0.002558,True,False,True,,1,0.291,
16qam_13dB_2021,16qam,13,truth-params,16qam,True,ok,0.9561,7.568e-05,True,0.0001,True,False,True,,1,0.293,
16qam_13dB_2021,16qam,13,s2-top,16qam,True,ok,0.9561,7.568e-05,True,0.0001,True,False,True,,1,0.276,
16qam_13dB_2021,16qam,13,search,16qam,True,ok,0.9561,7.568e-05,True,0.0001,True,False,True,,1,0.296,
16qam_13dB_3021,16qam,13,truth-params,16qam,True,ok,0.9287,4.756e-05,True,5e-05,True,False,True,,1,0.283,
16qam_13dB_3021,16qam,13,s2-top,16qam,True,ok,0.9287,4.756e-05,True,5e-05,True,False,True,,1,0.271,
